Score,Title,Release Year,No. of Reviews
85%,Once Upon a Time In Hollywood,2019,571
93%,Us,2019,553
94%,Avengers: Endgame,2019,547
90%,A Star Is Born,2018,528
96%,Black Panther,2018,525
91%,Star Wars: The Last Jedi,2017,482
93%,Wonder Woman,2017,471
97%,Knives Out,2019,467
91%,La La Land,2016,466
98%,Parasite (Gisaengchung),2019,463
92%,Dunkirk,2017,461
89%,1917,2020,460
92%,The Shape of Water,2017,459
95%,The Irishman,2019,455
97%,Toy Story 4,2019,453
90%,Spider-Man: Far From Home,2019,451
96%,BlacKkKlansman,2018,447
93%,Star Wars: Episode VII - The Force Awakens,2015,445
97%,Mission: Impossible - Fallout,2018,437
93%,Thor: Ragnarok,2017,436
94%,Arrival,2016,434
97%,Mad Max: Fury Road,2015,434
93%,Logan,2017,423
93%,The Favourite,2018,422
91%,Widows,2018,420
92%,The Invisible Man,2020,412
96%,Roma,2018,404
99%,Lady Bird,2017,398
98%,Get Out,2017,397
92%,Baby Driver,2017,395
92%,Spider-Man: Homecoming,2017,394
98%,Moonlight,2016,393
94%,Marriage Story,2019,392
97%,Spider-Man: Into the Spider-Verse,2018,392
93%,Incredibles 2,2018,387
96%,A Quiet Place,2018,387
98%,Inside Out,2015,379
96%,Booksmart,2019,377
97%,Spotlight,2015,376
95%,12 Years a Slave,2013,374
94%,Call Me by Your Name,2018,363
96%,Argo,2012,360
94%,War for the Planet of the Apes,2017,360
96%,Gravity,2013,356
96%,Manchester by the Sea,2016,353
97%,Coco,2017,353
97%,The Farewell,2019,345
97%,Boyhood,2014,327
98%,Portrait of a Lady on Fire (Portrait de la jeune fille en feu),2020,323
99%,Eighth Grade,2018,318
96%,The Florida Project,2017,315
99%,Selma,2014,313
98%,The Big Sick,2017,304
96%,Pain and Glory (Dolor y gloria),2019,299
98%,Zootopia,2016,298
99%,Paddington 2,2018,246
100%,Leave No Trace,2018,241
99%,Never Rarely Sometimes Always,2020,234
99%,L.A. Confidential,1997,161
98%,The Wizard of Oz,1939,160
97%,Metropolis,1927,134
97%,The Godfather,1972,133
98%,E.T. The Extra-Terrestrial,1982,133
98%,Schindler's List,1993,128
98%,Alien,1979,127
99%,Casablanca,1942,124
98%,Rear Window,1954,122
99%,Citizen Kane,1941,117
96%,"The Godfather, Part II",1974,114
98%,A Hard Day's Night,1964,110
97%,North by Northwest,1959,109
98%,Modern Times,1936,108
98%,Sunset Boulevard,1950,108
99%,On the Waterfront,1954,105
96%,Psycho,1960,104
99%,All About Eve,1950,103
100%,The Philadelphia Story,1940,102
99%,His Girl Friday,1940,100
99%,It Happened One Night,1934,98
96%,An American in Paris,1951,94
100%,Rebecca,1940,94
97%,Double Indemnity,1944,92
98%,The Best Years of Our Lives,1946,91
99%,The Battle of Algiers (La Battaglia di Algeri),1967,89
100%,Seven Samurai (Shichinin no Samurai),1956,88
99%,The Third Man,1949,84
98%,All Quiet on the Western Front,1930,81
97%,A Night at the Opera,1935,70
99%,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari),1920,68
97%,La Grande illusion (Grand Illusion),1938,68
97%,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire)",1922,68
100%,Singin' in the Rain,1952,67
98%,King Kong,1933,66
100%,Laura,1944,65
100%,The Maltese Falcon,1941,64
98%,Snow White and the Seven Dwarfs,1937,54
100%,The Kid,1921,49
100%,The Adventures of Robin Hood,1938,48
100%,Shadow of a Doubt,1943,48
100%,Top Hat,1935,42
