Название,Адрес,Требования,Зарплата,Ссылка
QA-автоматизатор (python),"Москва, Кутузовский проспект, 32к1","Опыт работы от 1 года, полная занятость",По договорённости,https://www.superjob.ru/vakansii/qa-avtomatizator-39705235.html
Middle Python QA Engineer,"Москва, Мясницкая улица, 11","Опыт работы от 3 лет, полная занятость",до 150 000 руб.,https://www.superjob.ru/vakansii/middle-python-qa-engineer-39416782.html
Python backend-разработчик,Москва,"Опыт работы от 1 года, полная занятость, удалённая работа",По договорённости,https://www.superjob.ru/vakansii/python-backend-razrabotchik-39781914.html
Senior Python разработчик,"Кутузовская, Москва, Поклонная улица, 3","Опыт работы от 3 лет, полная занятость",до 350 000 руб.,https://www.superjob.ru/vakansii/senior-python-razrabotchik-39779427.html
Python Backend Developer / WEB-разработчик,Москва,"Опыт работы от 3 лет, полная занятость, удалённая работа",185 000 руб.,https://www.superjob.ru/vakansii/python-backend-developer-39595398.html
Senior python developer / Teamlead (Odoo),"Тульская, Нагатинская, Нагорная, Нахимовский проспект, Севастопольская, Серпуховская, Полянка, Боровицкая, Чеховская, Цветной бульвар, Москва, Большая Тульская улица, 43","Опыт работы от 6 лет, полная занятость",от 180 000 руб.,https://www.superjob.ru/vakansii/senior-python-developer-39529912.html
Python Developer (научим Big Data),"Москва, Тверская улица, 22","Опыт работы от 3 лет, полная занятость",По договорённости,https://www.superjob.ru/vakansii/python-developer-39757648.html
Senior Python developer (Fullstack),Москва,"Полная занятость, удалённая работа",260 000 — 320 000 руб.,https://www.superjob.ru/vakansii/senior-python-developer-39485242.html
"Бэкенд-разработчик (Python, удаленная работа)",Москва,"Опыт работы от 3 лет, высшее образование, полная занятость, удалённая работа",до 220 000 руб.,https://www.superjob.ru/vakansii/bekend-razrabotchik-39565873.html
"Аналитик в отдел планирования (SQL, Python/R)","Выставочная, Москва, 1-й Красногвардейский проезд, 15","Опыт работы от 3 лет, высшее образование, полная занятость",По договорённости,https://www.superjob.ru/vakansii/analitik-v-otdel-planirovaniya-35583105.html
Программист Python,Москва,"Неполное высшее образование, полная занятость",По договорённости,https://www.superjob.ru/vakansii/programmist-python-39759582.html
Старший разработчик Python,Москва,"Полная занятость, удалённая работа",240 000 — 300 000 руб.,https://www.superjob.ru/vakansii/starshij-razrabotchik-python-39531755.html
Разработчик Python + DS ML,Москва,"Опыт работы от 3 лет, высшее образование, полная занятость",до 250 000 руб.,https://www.superjob.ru/vakansii/razrabotchik-python-39527128.html
Python backend developer,"Москва, Пресненская набережная, 12","Опыт работы от 1 года, высшее образование, полная занятость",80 000 — 100 000 руб.,https://www.superjob.ru/vakansii/python-backend-developer-39814546.html
Full stack разработчик на python (средний / middle),Москва,"Опыт работы не требуется, полная занятость, удалённая работа",По договорённости,https://www.superjob.ru/vakansii/full-stack-razrabotchik-na-python-39518483.html
Senior Python Developer / Data Engineer,"Москва, Мясницкая улица, 11","Опыт работы от 3 лет, полная занятость",до 300 000 руб.,https://www.superjob.ru/vakansii/senior-python-developer-39416755.html
Python Developer,Москва,"Опыт работы от 1 года, полная занятость",до 350 000 руб.,https://www.superjob.ru/vakansii/python-developer-39812948.html
